Value,Date,Sub-Sector,Super Region,Sub-Sector Level 2,Sub-Sector Level 3,Time Level,Unit,Source,Sub-Sector Level 4
47.39,2017-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
48.85,2022-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
28.04,1995-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
32.52,2006-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
32.86,2000-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
33.98,2005-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
38.8,2012-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
44.89,2009-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
32.55,1998-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
44.46,2019-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
38.39,2018-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
33.37,2006-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
46.18,2011-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
30.13,1996-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
27.22,1991-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
47.18,2017-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
32.44,2000-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
30.22,1994-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
25.43,1993-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.91,2001-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
28.81,1992-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
44.9,2010-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
28.45,1990-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
30.54,2002-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
37.86,2013-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.83,2003-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
42.67,2020-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
41.79,2012-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
25.31,1995-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
29.84,2004-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
30.83,2005-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
24.56,1994-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
24.28,1993-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
27.4,1997-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
34.91,2006-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
43.31,2019-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
50.44,2022-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
45.65,2021-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
36.78,2018-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
24.73,1992-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
49.13,2017-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
30.82,1999-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
25.93,1991-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
44.4,2016-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
39.78,2014-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
53.01,2011-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
33.86,2006-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
30.6,2001-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
37.56,2013-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
28.45,2003-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
43.38,2021-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
42.06,2011-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
34.52,2008-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.66,2001-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.97,1997-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
44.47,2015-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.39,1999-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
45.48,2016-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
23.41,1990-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.09,2002-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
40.34,2013-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
44.03,2020-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
44.88,2010-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
28.22,2003-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
37.3,2008-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
41.83,2020-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
34.02,2007-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
25.84,1995-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
22.44,1996-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
32.69,2006-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
35.43,2012-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
46.41,2009-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
43.01,2019-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
29.8,2004-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
25.59,1992-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
34.06,2000-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.27,1998-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
37.83,2014-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
29.55,1999-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
45.4,2016-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
49.34,2009-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
43.58,2015-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
35.34,2012-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
26.82,2005-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
40.67,2011-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.5,1996-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
33.22,2008-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
32.89,2001-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
25.46,1990-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
25.11,1991-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
29.84,2001-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.29,2000-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
25.98,1996-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
31.49,2003-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,PADD 3 (GULF COAST),DISTILLATE FUEL OIL PADD 3 (GULF COAST) INVENTORY,MONTHLY,"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION,NA
