Value,Date,Sub-Sector,Super Region,Sub-Sector Level 2,Sub-Sector Level 3,Time Level,Unit,Source,Sub-Sector Level 4
84.51,2022-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
162.58,1992-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
102.15,2015-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
129.14,2017-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
142.42,1991-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
174.02,1994-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
106.37,2021-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
178.95,2004-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
166.87,2001-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
147.66,2011-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
161.88,2014-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
169.91,1995-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
134.97,2013-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
155.01,2003-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
148.99,1993-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
97.25,2021-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
166.47,1996-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
150.45,2009-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
164.84,1995-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
156.96,1990-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
202.4,2006-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
175.06,2007-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
142.55,2015-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
122.05,2019-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
161.04,1993-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
171.99,2000-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
174.07,2002-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
62.47,2022-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
152.99,1998-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
168.24,2003-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
71.23,2021-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
147.83,2009-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
167.23,1997-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
148.85,2011-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
178.59,2010-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
108.46,2015-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
193.01,2005-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
146.96,1994-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
195.74,2004-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
153.93,1995-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
88.66,2020-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
90.02,2018-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
190.16,2010-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
129.3,2014-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
170.08,2012-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
151.43,1991-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
179.64,2002-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
193.3,2005-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
169.24,1992-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
144.57,1996-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
166.79,1994-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
190.16,2007-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
155.02,2001-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
192.91,2004-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
156.76,1995-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
77.61,2020-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
142.61,2012-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
149.82,2013-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
166.96,1993-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
155.99,2000-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
91.74,2016-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
153.69,2013-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
200.54,2006-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
172.53,1999-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
95.08,2019-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
189.55,2007-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
171.17,2005-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
100.22,2017-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
