Sub-Sector,Super Region,Sector,Stock Attribute,Ticker,Currency,Time Level,Data Provider,Source,Stock Exchange,Stock Name,Location,Super Region,Value,Date Value,Period Value
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,49.95,2021-02-05,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,48.33,2021-02-04,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,47.42,2021-02-03,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,45.63,2021-02-02,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,44.92,2021-02-01,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,44.84,2021-01-29,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,46.06,2021-01-28,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,45.35,2021-01-27,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,45.87,2021-01-26,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,46.9,2021-01-25,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,47.43,2021-01-22,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,48.11,2021-01-21,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,49.53,2021-01-20,d
GLOBAL STOCK EXCHANGE DATA,GLOBAL DATA,FINANCIAL MARKET,CLOSING PRICE,XOM,USD,DAILY,NEW YORK STOCK EXCHANGE,WORLDDATA.AI,NEW YORK STOCK EXCHANGE - STOCK PRICES,EXXON MOBIL CORPORATION,AMERICA-NEW_YORK,GLOBAL DATA,48.84,2021-01-19,d
